Power                   Time
1202.2674057212503	0.256
1202.2674057212503	0.268
1202.2674057212503	0.28
1202.2674057212503	0.292
1202.2674057212503	0.304
1202.2674057212503	0.316
1202.2674057212503	0.328
1202.2674057212503	0.34
1202.2674057212503	0.352
1202.2674057212503	0.364
1202.2674057212503	0.376
1202.2674057212503	0.388
1202.2674057212503	0.4
1202.2674057212503	0.412
1202.2674057212503	0.424
1202.2674057212503	0.436
1202.2674057212503	0.448
1202.2674057212503	0.46
1202.2674057212503	0.472
1202.2674057212503	0.484
1202.2674057212503	0.496
1202.2674057212503	0.508
1202.2674057212503	0.52
1202.2674057212503	0.532
1202.2674057212503	0.544
1202.2674057212503	0.556
1202.2674057212503	0.568
1202.2674057212503	0.58
1202.2674057212503	0.592
1202.2674057212503	0.604
1202.2674057212503	0.616
1202.2674057212503	0.628
1202.2674057212503	0.64
1202.2674057212503	0.652
1202.2674057212503	0.664
1202.2674057212503	0.676
1202.2674057212503	0.688
1202.2674057212503	0.7
1202.2674057212503	0.712
1202.2674057212503	0.724
1202.2674057212503	0.736
1202.2674057212503	0.748
1202.2674057212503	0.76
1202.2674057212503	0.772
1202.2674057212503	0.784
1202.2674057212503	0.796
1202.2674057212503	0.808
1202.2674057212503	0.82
1202.2674057212503	0.832
1202.2674057212503	0.844
1202.2674057212503	0.856
1202.2674057212503	0.868
1202.2674057212503	0.88
1202.2674057212503	0.892
1202.2674057212503	0.904
1202.2674057212503	0.916
1202.2674057212503	0.928
1202.2674057212503	0.94
1202.2674057212503	0.952
1202.2674057212503	0.964
1202.2674057212503	0.976
1202.2674057212503	0.988
1202.2674057212503	1.0
1202.2674057212503	1.012
1202.2674057212503	1.024
1202.2674057212503	1.036
1202.2674057212503	1.048
1202.2674057212503	1.06
1202.2674057212503	1.072
1202.2674057212503	1.084
1202.2674057212503	1.096
1202.2674057212503	1.108
1202.2674057212503	1.12
1202.2674057212503	1.132
1202.2674057212503	1.144
1202.2674057212503	1.156
1202.2674057212503	1.168
1202.2674057212503	1.18
1202.2674057212503	1.192
1202.2674057212503	1.204
1202.2674057212503	1.216
1202.2674057212503	1.228
1202.2674057212503	1.24
1202.2674057212503	1.252
1202.2674057212503	1.264
1202.2674057212503	1.276
1202.2674057212503	1.288
1202.2674057212503	1.3
1202.2674057212503	1.312
1202.2674057212503	1.324
1202.2674057212503	1.336
1202.2674057212503	1.348
1202.2674057212503	1.36
1202.2674057212503	1.372
1202.2674057212503	1.384
1202.2674057212503	1.396
1202.2674057212503	1.408
1202.2674057212503	1.42
1202.2674057212503	1.432
1202.2674057212503	1.444
1202.2674057212503	1.456
1202.2674057212503	1.468
1202.2674057212503	1.48
1202.2674057212503	1.492
1202.2674057212503	1.504
1202.2674057212503	1.516
1202.2674057212503	1.528
1202.2674057212503	1.54
1202.2674057212503	1.552
1202.2674057212503	1.564
1202.2674057212503	1.576
1202.2674057212503	1.588
1202.2674057212503	1.6
1202.2674057212503	1.612
1202.2674057212503	1.624
1202.2674057212503	1.636
1202.2674057212503	1.648
1202.2674057212503	1.66
1202.2674057212503	1.672
1202.2674057212503	1.684
1202.2674057212503	1.696
1202.2674057212503	1.708
1202.2674057212503	1.72
1202.2674057212503	1.732
1202.2674057212503	1.744
1202.2674057212503	1.756
1202.2674057212503	1.768
1202.2674057212503	1.78
1202.2674057212503	1.792
1202.2674057212503	1.804
1202.2674057212503	1.816
1202.2674057212503	1.828
1202.2674057212503	1.84
1202.2674057212503	1.852
1202.2674057212503	1.864
1202.2674057212503	1.876
1202.2674057212503	1.888
1202.2674057212503	1.9
1202.2674057212503	1.912
1202.2674057212503	1.924
1202.2674057212503	1.936
1202.2674057212503	1.948
1202.2674057212503	1.96
1202.2674057212503	1.972
1202.2674057212503	1.984
1202.2674057212503	1.996
1202.2674057212503	2.008
1202.2674057212503	2.02
1202.2674057212503	2.032
1202.2674057212503	2.044
1202.2674057212503	2.056
1214.282338840224	2.068
1226.4011278745122	2.08
1238.6286439990993	2.092
1250.9626822179764	2.104
1263.3927614487861	2.116
1275.8991583174022	2.128
1288.4525003097688	2.14
1301.014163237812	2.152
1313.5367615026967	2.164
1325.9649525941252	2.176
1338.23684637911	2.188
1350.2858943371552	2.2
1362.0432611489987	2.212
1373.44052091023	2.224
1384.4123911870952	2.236
1394.8994791980053	2.248
1404.8507236926446	2.26
1414.2256972910043	2.272
1422.9968521359926	2.284
1431.1510139226875	2.296
1438.690038260101	2.308
1445.6309112165318	2.32
1452.0052471416157	2.332
1457.8584089475762	2.344
1463.24775046131	2.356
1468.240219171256	2.368
1472.9094619321304	2.38
1477.3330667829007	2.392
1481.58993381544	2.404
1485.7577635641524	2.416
1489.9110034939583	2.428
1494.1191951426867	2.44
1498.4455951660912	2.452
1502.9462381374515	2.464
1507.6692167921688	2.476
1512.6542015063035	2.488
1517.9323071876574	2.5
1523.5258704203986	2.512
1529.44852656926	2.524
1535.7054556601875	2.536
1542.294036561428	2.548
1549.20478798723	2.56
1556.422464329134	2.572
1563.9271484282444	2.584
1571.6953884495529	2.596
1579.7013806573573	2.608
1587.918097098181	2.62
1596.318574553057	2.632
1604.8767195450687	2.644
1613.5677803384197	2.656
1622.3685083182372	2.668
1631.2573246060178	2.68
1640.2144624157033	2.692
1649.2217726312283	2.704
1658.2620326151055	2.716
1667.3180620002317	2.728
1676.371755692793	2.74
1685.4032429160848	2.752
1694.3899735630944	2.764
1703.3054297378953	2.776
1712.11789639671	2.788
1720.7895247445815	2.8
1729.2757152507595	2.812
1737.5248994176925	2.824
1745.4785474781431	2.836
